Sort Order,"Major area, region, country or area of destination",Notes,Country Code,Type of Data,Total,Other South,Other North,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2000001,WORLD,,900,,173588441,5169471,2209720,4606374,824413,1038048,3186,5624,913314,3094,33847,555587,876470,11037,385120,478831,1628482,34441,47738,5442722,95453,1685652,400064,48213,328047,14084,120187,344713,4395,1496702,26688,970453,5431,45242,688832,1279415,758674,124824,459625,164302,1148499,1279,55418,206069,12825,512014,5885006,687946,101637,1436444,70503,135247,19481,105682,539243,907454,1049761,58569,153573,400971,72414,862051,218071,9055,48446,897785,446391,1708513,949270,59932,511508,141883,34118,445891,1264,12412,131917,316039,1555610,3648,4305,18046,45429,967024,3235354,495900,8456,983006,13274,63904,7950,2801,583020,377023,77666,363434,805430,43,342337,421411,26184,7932405,2431466,831372,1164056,820902,7377,304861,3067571,858815,712768,368562,3554491,317453,3991,113446,566319,649288,238691,561102,120575,248417,80036,2690,348620,39797,77098,186231,1203638,1217,772954,104884,6976,14217,107608,119005,6215,9562929,16915,5133,30649,185958,16133,2077160,644467,1224311,49354,1600,977405,755052,4945,490020,502243,205246,610200,5754,532531,2772,164243,15628,3401303,4000,137430,4556,374876,699598,3092284,2048371,1995386,1600752,14706,1952161,602782,2362,1139475,10721414,318203,4043,31420,39618,486,53670,94541,3496,25156,153703,394614,1129412,19244,509099,192989,20223,251584,118724,2728,1006139,501905,342628,1290279,981294,2768020,885664,213526,258000,371471,707872,541185,537198,148339,267183,2061,46714,307802,486980,2891893,223704,759,2611,517778,5596883,111123,3866248,215469,1991803,3979,235641,1575969,6423,319240,1885072,7402,166064,529396,160206,351996
2000002,UN development groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2000003,More developed regions,b,901,,103961989,2154380,1013370,223080,819842,974880,1164,5574,213717,1163,25064,297623,645730,6183,326744,443308,991007,32529,6959,334976,90117,1549417,371695,43978,17294,13970,786,75114,3889,1493352,3797,709978,510,9834,214357,13602,10203,112546,271174,80900,1064312,1192,10458,4879,12725,237163,2767535,613434,18765,671538,20251,70641,19421,81739,75805,903531,978744,52919,141406,392206,15540,136947,207307,4477,27791,788300,381934,366555,900994,13828,52427,138901,1673,154887,1240,12410,129699,310976,1133937,64,610,10526,25922,815112,2801731,227897,8384,899007,12876,49744,377,54,520683,26481,33104,323791,518042,41,300452,397284,26013,2148095,366239,698633,369184,812032,7377,194369,2669372,836188,539198,87730,3461444,213145,1122,45082,537643,292264,227332,416036,763,51790,32735,2522,328202,39402,49832,13815,240741,556,57222,104608,6508,327,16081,110097,0,9508071,7571,4829,28899,185725,13559,1883883,85835,62201,3036,513,26930,689034,1471,470253,241757,4682,316422,5641,394339,277,146696,3542,789286,21,115732,2987,23731,483173,2144844,1919396,1679698,1577177,2990,1751016,560051,175,980208,6753212,14863,3372,20202,25476,413,36438,76277,3459,13154,49113,157174,1125601,8468,50659,120452,18841,250813,116585,1747,183021,401751,2,932604,434462,40702,53494,191475,243704,336919,179941,434172,360360,4577,33028,1899,43834,291605,439639,2767417,213040,260,1471,85955,4954276,22610,3466019,72704,925007,203,74802,1247938,1339,230446,1669714,26,149,38196,37869,85215
2000003,Less developed regions,c,902,,69626452,3015091,1196350,4383294,4571,63168,2022,50,699597,1931,8783,257964,230740,4854,58376,35523,637475,1912,40779,5107746,5336,136235,28369,4235,310753,114,119401,269599,506,3350,22891,260475,4921,35408,474475,1265813,748471,12278,188451,83402,84187,87,44960,201190,100,274851,3117471,74512,82872,764906,50252,64606,60,23943,463438,3923,71017,5650,12167,8765,56874,725104,10764,4578,20655,109485,64457,1341958,48276,46104,459081,2982,32445,291004,24,2,2218,5063,421673,3584,3695,7520,19507,151912,433623,268003,72,83999,398,14160,7573,2747,62337,350542,44562,39643,287388,2,41885,24127,171,5784310,2065227,132739,794872,8870,0,110492,398199,22627,173570,280832,93047,104308,2869,68364,28676,357024,11359,145066,119812,196627,47301,168,20418,395,27266,172416,962897,661,715732,276,468,13890,91527,8908,6215,54858,9344,304,1750,233,2574,193277,558632,1162110,46318,1087,950475,66018,3474,19767,260486,200564,293778,113,138192,2495,17547,12086,2612017,3979,21698,1569,351145,216425,947440,128975,315688,23575,11716,201145,42731,2187,159267,3968202,303340,671,11218,14142,73,17232,18264,37,12002,104590,237440,3811,10776,458440,72537,1382,771,2139,981,823118,100154,342626,357675,546832,2727318,832170,22051,14296,34552,527931,107013,176838,143762,234155,162,2880,16197,47341,124476,10664,499,1140,431823,642607,88513,400229,142765,1066796,3776,160839,328031,5084,88794,215358,7376,165915,491200,122337,266781
2000004,Least developed countries,d,941,,10063948,587660,258831,0,0,5868,0,0,589277,0,0,485,0,0,1720,184,0,0,20661,2167,0,0,773,0,63147,0,111196,0,0,0,329,11264,0,0,0,54526,745842,11893,14652,38935,2246,0,28602,89272,0,300,203661,229,0,746,8630,44516,0,246,454422,0,1277,0,11,0,226,521244,187,3258,0,2170,0,31897,0,332,444806,0,110,137141,0,0,672,0,41396,0,0,5687,13047,0,3882,75916,0,37,0,0,0,0,0,205001,42113,0,0,0,0,9,0,652398,103102,0,5473,16,0,0,2393,0,10592,0,0,91520,988,31,0,60900,0,7117,4714,151135,4064,0,0,0,10595,51176,160617,0,156611,0,0,0,76739,161,0,275,0,0,0,0,0,3556,107147,230796,1088,1060,13591,604,268,522,0,92032,118064,0,0,0,9812,0,35296,0,0,1097,0,316,1126,0,11331,1394,0,582,0,938,0,1364,285245,0,0,0,0,0,6,0,4255,2006,183542,0,10244,453037,7890,0,0,66,51,549322,28952,251431,1657,201,2942,455601,0,1133,717,2584,32929,71059,0,53846,0,27,0,243,10,0,0,302,166147,104,68,29758,84380,42566,0,257,1646,9,2264,102056,0,0,365,62881,106849
2000004,"Less developed regions, excluding least developed countries",,934,,59562504,2427431,937519,4383294,4571,57300,2022,50,110320,1931,8783,257479,230740,4854,56656,35339,637475,1912,20118,5105579,5336,136235,27596,4235,247606,114,8205,269599,506,3350,22562,249211,4921,35408,474475,1211287,2629,385,173799,44467,81941,87,16358,111918,100,274551,2913810,74283,82872,764160,41622,20090,60,23697,9016,3923,69740,5650,12156,8765,56648,203860,10577,1320,20655,107315,64457,1310061,48276,45772,14275,2982,32335,153863,24,2,1546,5063,380277,3584,3695,1833,6460,151912,429741,192087,72,83962,398,14160,7573,2747,62337,145541,2449,39643,287388,2,41885,24118,171,5131912,1962125,132739,789399,8854,0,110492,395806,22627,162978,280832,93047,12788,1881,68333,28676,296124,11359,137949,115098,45492,43237,168,20418,395,16671,121240,802280,661,559121,276,468,13890,14788,8747,6215,54583,9344,304,1750,233,2574,189721,451485,931314,45230,27,936884,65414,3206,19245,260486,108532,175714,113,138192,2495,7735,12086,2576721,3979,21698,472,351145,216109,946314,128975,304357,22181,11716,200563,42731,1249,159267,3966838,18095,671,11218,14142,73,17232,18258,37,7747,102584,53898,3811,532,5403,64647,1382,771,2073,930,273796,71202,91195,356018,546631,2724376,376569,22051,13163,33835,525347,74084,105779,143762,180309,162,2853,16197,47098,124466,10664,499,838,265676,642503,88445,370471,58385,1024230,3776,160582,326385,5075,86530,113302,7376,165915,490835,59456,159932
2000005,World Bank income groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2000005,High-income countries,e,1503,,103029727,2808880,1162405,391093,748153,1005272,135,5584,213384,2006,31023,398264,107252,6709,345076,440184,53542,33272,8706,1478367,92886,363328,377069,44460,16964,14033,777,311794,4130,1104432,3602,768921,3476,9838,204688,13029,10044,112545,271744,80440,1098120,1201,10338,14081,12740,448842,5173387,680020,88951,713268,20239,70392,19423,87998,75727,544193,1003291,55109,140700,380516,7071,137262,206632,4477,40949,867550,395204,1201236,903908,13793,62857,56927,1673,283939,1242,12412,129742,307628,1220734,70,4209,10525,25919,133171,2688500,227765,8417,857580,12913,62691,446,1696,522256,26128,32839,340479,546106,43,302920,387509,25935,4970632,1519521,745330,455026,813264,7377,188663,2885882,854489,575559,275262,564271,213220,1119,75869,42147,293471,100397,497149,773,51792,51579,2684,208026,39403,50253,13814,1008939,448,57178,103934,6870,336,16080,110400,1,9520327,16776,4619,6547,83355,15790,2055048,85799,167972,2964,519,233710,702409,3524,475691,248393,4701,320367,5646,339021,2401,145885,3535,1969943,2496,118126,2989,341087,609662,2840508,1982229,1691250,1583913,3351,1767294,90070,177,1098297,2350500,14713,3700,29771,34967,437,52205,76274,3453,13165,71281,157080,1081217,8472,50662,130087,19464,242112,103014,1747,189738,415241,7992,1103845,741815,76068,342673,192800,244828,340511,536402,17323,408586,4577,33047,1899,44103,298081,479386,2790665,8227,753,1438,85886,1222966,81850,3560162,72575,1338859,2216,195879,99431,5734,245251,1658830,7387,34,498665,37637,85101
2000006,Middle-income countries,e,1517,,61158978,1397355,852717,4197991,76260,28013,3051,40,349555,554,1702,156822,769011,1225,39730,38394,1574760,1030,39032,3963605,2116,1321604,21711,3753,248477,51,8214,32919,265,392270,18958,191077,207,35377,484144,1211860,4584,7598,187881,45330,47407,78,35117,175398,85,62807,664519,7635,12686,719935,3922,25212,58,17438,9293,363261,43324,1207,12862,20455,65036,291937,11137,1320,582,17502,51187,498012,45362,46075,439003,84956,32371,159312,22,0,2050,8411,109599,946,0,2354,6463,833150,542870,192674,39,125389,361,1198,219,1105,60764,148503,3252,18396,233004,0,39417,33893,249,2400531,910795,84775,701744,7622,0,116198,178867,2554,136378,93300,2989331,19329,2872,37577,512228,354917,138294,55759,115088,45490,27021,6,140594,394,1150,35225,194550,769,567706,950,106,550,14444,4989,0,42295,139,514,24102,102603,130,18893,254592,1056339,45864,1081,743695,44734,269,11584,253850,108635,196050,98,193510,371,18343,12053,1400348,1504,19304,1556,33789,88914,250005,66101,299068,15372,11355,179994,511879,141,41178,8117498,24090,210,329,1175,49,1317,18148,43,11857,80716,90780,48195,528,5400,62902,477,9472,15644,981,349909,47870,83205,184815,239260,2303959,87299,2925,12053,30053,168690,490933,128244,143762,180404,162,2505,9608,7594,100396,215004,6,1075,313857,4372534,29273,274668,62917,640392,1271,39505,1466908,494,70284,225551,15,166030,30604,33548,169168
2000006,Upper-middle-income countries,e,1502,,34642477,716524,357616,2111759,75579,6201,3036,40,74630,554,1624,127299,690454,1154,21462,36051,1441788,974,1627,80607,2081,986651,18942,2308,27623,50,27,32188,232,392224,18662,160856,207,3465,481596,4308,2307,55,157098,28208,39551,11,190,3121,85,57743,206369,7108,12686,717178,3258,18445,58,8863,2813,363130,41027,932,12736,20007,56802,18754,9914,1049,582,17303,49434,455933,36424,45021,2495,72093,32335,3401,22,0,1128,7469,68602,944,0,245,133,751755,509431,7226,30,123881,361,1196,219,4,49508,3036,510,18389,232936,0,19678,33269,188,161417,787011,76025,691489,7200,0,16493,168185,2499,111399,30673,2675963,9407,1938,11488,476273,289471,114147,46629,114956,258,7982,5,107781,376,1115,28226,14178,135,28955,948,0,550,521,4627,0,29486,139,454,23902,102603,130,9180,239932,753848,45045,26,64424,42878,0,8874,243452,298,24663,17,193407,285,7246,2451,38472,0,18210,85,30512,78348,245093,56110,289341,15077,1445,171982,335122,141,37592,2941148,2047,210,329,1175,49,1317,18132,43,3989,45668,17998,48195,508,557,46843,398,9410,15636,683,95760,27215,2049,178639,48023,2234448,21508,2793,11372,27708,150769,415177,48585,0,11905,162,2439,9594,4021,95217,186289,6,773,3288,4066646,3007,193124,7083,527913,1232,38907,1197974,369,69339,107851,15,166030,24762,32471,160011
