Sort Order,"Major area, region, country or area of destination",Notes,Country Code,Type of Data,Total,Other South,Other North,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2010001,WORLD,,900,,220781909,5972807,2600643,5055805,1120305,1656453,2159,7926,660056,2366,41431,938087,917350,14479,487844,520152,1164567,36004,53125,6750115,96348,1465141,487203,57331,540832,15281,86154,780095,11379,1569275,46832,1518343,4961,43871,1106684,1434192,284587,152877,953169,279448,1272338,1391,245925,202288,15698,570644,8733242,943069,130805,2526525,109067,181070,20559,133027,940012,822331,1313321,109367,163956,782250,96575,1282572,234437,13832,73693,1185546,1152628,2611870,1337458,84400,320659,160489,69003,664819,1169,12736,182913,290411,1957969,3942,1459,37068,77899,813454,3727333,762986,10189,792872,15928,64030,10821,2217,925252,457146,91921,439451,1123759,178,587886,513838,33103,13229275,3429170,989560,2627057,730771,9030,336473,2563339,989512,760479,597431,3803375,438479,3556,170724,726917,1198715,279368,704562,243150,219256,128104,3594,519665,62241,160871,255164,1598510,2746,997135,99362,6483,14668,109431,148643,6327,12414825,19406,26961,57766,148982,17369,2863810,798225,2469533,99630,2146,1434586,866675,4911,662996,610902,335884,987165,5358,527075,2626,181698,20092,4992279,2621,140609,4238,766008,1302167,4719359,3731041,1950392,1732654,21622,2309955,827763,2773,3370044,10130259,331087,4269,35838,50480,391,55545,104817,2265,30887,203703,559557,829298,25978,126868,278308,25352,261356,123291,3348,1589706,745100,403896,1086552,1410887,3343320,1234913,261654,304911,627301,1084203,584770,773556,35020,417150,2168,52049,350533,616386,2723385,236614,2280,3011,700398,5433315,121176,4450254,263122,2669958,3713,338334,1880557,7846,558491,2356176,7462,143996,877385,208307,715395
2010002,UN development groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2010003,More developed regions,b,901,,130613460,2550329,724441,361895,1114766,1577813,164,7012,209054,803,33316,640635,718937,9425,402007,485961,906398,34412,9235,598948,91671,1331940,452560,52188,28104,15083,5413,338045,8498,1566072,4964,1214038,481,11688,602628,25469,28248,135182,294448,177834,1157068,1285,17762,10084,15573,313874,4633456,625798,21046,1260623,34937,98187,20501,105418,158183,817120,1238781,100554,148700,774572,25823,235145,221628,9190,52879,1067386,1069245,495487,1274129,22726,97594,157452,2637,300208,1129,12732,180289,284604,1433087,80,684,22199,58989,687622,3256709,363179,10102,687665,15512,53220,450,101,851286,82703,37737,381977,729976,174,530991,493742,32421,3810453,398477,886396,625524,715094,9028,251198,2248518,956547,575158,115927,3722890,312343,1969,58300,695269,277729,272175,490629,1130,92175,77954,3492,506535,61884,126080,17300,321736,945,102150,98883,6105,530,31214,135078,0,12349860,6937,26464,37253,148698,14460,2672129,75007,121356,5174,654,131229,773976,1677,638362,282787,9866,585759,5307,381865,49,158979,6108,1255951,211,118955,3389,129550,891777,3176907,3639738,1694431,1711271,5952,2025772,797324,489,3233168,6297826,32752,3032,24348,37345,286,40782,88175,2211,17056,96940,299585,821663,9224,74916,155081,23183,259879,121809,2279,390149,637065,2,786969,632390,53397,116476,227712,289108,590193,233223,524825,565055,14478,50450,2036,48725,334564,576508,2563888,221239,271,2147,118135,4778889,42594,4001487,101331,1108163,182,174398,1459814,2239,450950,2059539,1,65,59371,62869,234019
2010004,Less developed regions,c,902,,90168449,3422478,1876202,4693910,5539,78640,1995,914,451002,1563,8115,297452,198413,5054,85837,34191,258169,1592,43890,6151167,4677,133201,34643,5143,512728,198,80741,442050,2881,3203,41868,304305,4480,32183,504056,1408723,256339,17695,658721,101614,115270,106,228163,192204,125,256770,4099786,317271,109759,1265902,74130,82883,58,27609,781829,5211,74540,8813,15256,7678,70752,1047427,12809,4642,20814,118160,83383,2116383,63329,61674,223065,3037,66366,364611,40,4,2624,5807,524882,3862,775,14869,18910,125832,470624,399807,87,105207,416,10810,10371,2116,73966,374443,54184,57474,393783,4,56895,20096,682,9418822,3030693,103164,2001533,15677,2,85275,314821,32965,185321,481504,80485,126136,1587,112424,31648,920986,7193,213933,242020,127081,50150,102,13130,357,34791,237864,1276774,1801,894985,479,378,14138,78217,13565,6327,64965,12469,497,20513,284,2909,191681,723218,2348177,94456,1492,1303357,92699,3234,24634,328115,326018,401406,51,145210,2577,22719,13984,3736328,2410,21654,849,636458,410390,1542452,91303,255961,21383,15670,284183,30439,2284,136876,3832433,298335,1237,11490,13135,105,14763,16642,54,13831,106763,259972,7635,16754,51952,123227,2169,1477,1482,1069,1199557,108035,403894,299583,778497,3289923,1118437,33942,15803,37108,850980,59945,208501,20542,366700,132,3324,15969,39878,159497,15375,2009,864,582263,654426,78582,448767,161791,1561795,3531,163936,420743,5607,107541,296637,7461,143931,818014,145438,481376
2010005,Least developed countries,d,941,,10432671,877444,445384,388,1037,6409,324,842,336424,0,0,483,0,0,2074,175,0,0,28471,1623,0,0,732,0,95580,0,73598,0,0,0,1160,15145,410,0,0,86354,245487,15898,20814,33865,1907,0,97560,99739,0,1551,236968,129,0,743,10632,49108,0,244,724422,799,3081,0,8,0,1628,744277,192,3025,0,2164,0,31609,0,922,193426,0,122,127740,0,0,863,0,42930,0,280,11121,10564,0,3502,101941,0,36,0,302,767,0,0,210547,46763,0,0,0,0,8,0,588339,149616,10,10577,12,0,1091,2221,0,14374,0,1501,105942,342,31,0,83505,0,2705,7347,55279,4111,0,0,0,9689,78839,205358,0,203329,0,0,0,61173,187,0,274,0,0,0,0,0,4851,85775,236649,1972,1452,34037,340,278,634,0,156294,159877,0,0,0,13516,0,55582,0,0,666,0,315,1078,0,11898,1390,0,842,0,857,0,1043,268038,0,0,0,0,0,3,0,6657,2952,190526,0,15921,44978,10204,0,0,49,113,650335,38949,330906,2382,124,3952,523014,0,286,557,2976,23991,47397,0,116292,0,29,0,247,8,0,540,288,249321,25,2553,37299,111665,52814,378,666,1199,71,2257,81279,0,0,358,59051,145082
2010006,"Less developed regions, excluding least developed countries",,934,,79735778,2545034,1430818,4693522,4502,72231,1671,72,114578,1563,8115,296969,198413,5054,83763,34016,258169,1592,15419,6149544,4677,133201,33911,5143,417148,198,7143,442050,2881,3203,40708,289160,4070,32183,504056,1322369,10852,1797,637907,67749,113363,106,130603,92465,125,255219,3862818,317142,109759,1265159,63498,33775,58,27365,57407,4412,71459,8813,15248,7678,69124,303150,12617,1617,20814,115996,83383,2084774,63329,60752,29639,3037,66244,236871,40,4,1761,5807,481952,3862,495,3748,8346,125832,467122,297866,87,105171,416,10508,9604,2116,73966,163896,7421,57474,393783,4,56895,20088,682,8830483,2881077,103154,1990956,15665,2,84184,312600,32965,170947,481504,78984,20194,1245,112393,31648,837481,7193,211228,234673,71802,46039,102,13130,357,25102,159025,1071416,1801,691656,479,378,14138,17044,13378,6327,64691,12469,497,20513,284,2909,186830,637443,2111528,92484,40,1269320,92359,2956,24000,328115,169724,241529,51,145210,2577,9203,13984,3680746,2410,21654,183,636458,410075,1541374,91303,244063,19993,15670,283341,30439,1427,136876,3831390,30297,1237,11490,13135,105,14763,16639,54,7174,103811,69446,7635,833,6974,113023,2169,1477,1433,956,549222,69086,72988,297201,778373,3285971,595423,33942,15517,36551,848004,35954,161104,20542,250408,132,3295,15969,39631,159489,15375,1469,576,332942,654401,76029,411468,50126,1508981,3153,163270,419544,5536,105284,215358,7461,143931,817656,86387,336294
2010007,World Bank income groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2010008,High-income countries,e,1503,,144282576,3336493,1332920,647230,1040355,1622567,121,7030,208666,2163,39750,764480,148867,12741,432216,481919,67988,35000,12938,3023679,94284,356744,459094,52667,27991,15200,5393,726681,11115,1179399,4942,1288371,4153,11692,595844,25035,28111,135156,305932,177570,1208466,1306,17692,16657,15588,505646,7982811,702106,109603,1345427,34852,97675,20505,113748,158089,499615,1260936,104590,147583,763903,15369,235900,223681,9191,67486,1161775,1091238,2279251,1278803,22628,121793,86640,2649,495867,1133,12736,180342,281492,1561754,89,1051,22198,58983,204382,3143302,363005,10122,672340,15534,62502,2590,1181,853726,82500,37608,410700,772745,178,534710,481618,32295,10427816,2212741,933206,697912,716650,9028,244871,2374494,986166,615173,485638,927098,312439,1964,128748,86989,278665,159070,643844,1150,92180,94242,3571,400019,61770,126746,17285,1355518,934,102254,98810,6388,646,31213,135524,2,12364985,19178,26443,36472,62604,16918,2840271,74987,292201,5071,666,547370,799316,3920,646581,294982,9894,605565,5317,326267,2479,159017,6133,3687410,2282,120905,3394,721469,1193596,4585205,3671701,1701624,1721927,8820,2040861,311169,493,3326687,2394254,32715,3688,34433,45559,329,53987,88169,2181,17078,106606,299524,775752,9233,74921,166404,24430,253916,107503,2279,403449,655938,17192,896847,1187855,126107,610449,231304,291201,594690,823017,33777,657157,14478,50488,2035,49263,340322,607350,2603013,12974,1704,1566,118112,1635010,88501,4139744,101297,1548749,1985,300609,139876,7168,478353,2136240,7451,43,840190,62506,234279
2010009,Middle-income countries,e,1517,,65980003,1862617,1029378,4392970,78913,28572,1714,54,152676,178,1549,173163,768285,1074,55010,37993,1096407,985,40187,3725922,2007,1107705,26735,4664,417810,81,7163,53414,264,389876,38049,210469,342,32155,510840,1322803,14232,10854,647237,68647,61115,85,146737,166171,110,63266,696136,240799,21202,1179838,4920,43630,54,19035,58067,321917,49374,1160,16365,18347,79467,378958,10467,1616,700,18729,61390,316073,58655,61015,147627,73849,66268,125976,36,0,2392,8919,141701,961,0,4101,8352,608396,580436,298508,67,120496,394,1226,161,1036,71526,166645,7874,24794,318745,0,53176,32212,808,2320315,1215106,55126,805313,14109,2,90511,186146,2566,144145,111793,2873922,23448,1592,41976,628433,919254,120298,57829,234653,71797,31590,23,119646,471,2996,68862,242814,1812,699791,552,95,496,16574,8039,0,49566,228,518,21294,86378,185,19029,521322,2177332,93946,1480,887216,64372,278,13451,315920,169823,238445,25,200808,147,22672,13922,1252661,339,19704,827,44539,107363,131498,59302,243175,9328,12802,263582,515793,289,43357,7496781,38667,286,426,1317,62,1518,16428,84,13688,94449,106516,53546,824,6969,111235,470,7440,15739,1069,617364,41993,268746,187392,222852,2716438,100911,4447,13446,31809,257914,527002,115521,20542,250532,133,2737,10163,9036,119574,223186,36,1369,335634,3797050,30190,291504,56161,1110617,948,37059,1731813,560,77459,219225,11,143953,37077,56672,353328
2010010,Upper-middle-income countries,e,1502,,40238761,960386,392022,2390782,78675,7265,1693,54,81229,178,1422,135432,700084,1010,28055,36709,981239,893,2195,428015,1969,819896,24095,3279,34575,81,40,53164,246,389808,36971,172880,342,5677,508620,5110,6338,1239,624457,36559,46962,21,335,3934,110,58527,261501,240390,21202,1175528,4066,29836,54,7430,4260,321787,45815,1008,16035,17903,69829,37361,9570,1267,697,18400,59516,279751,49776,56972,3255,62866,66232,5160,36,0,1316,8334,88418,960,0,516,119,539693,547230,11310,58,118474,394,1226,161,5,57926,3640,1370,24790,318641,0,30246,31615,753,229098,1038211,47877,792493,13445,0,21369,167496,2512,93599,35571,2613794,17421,1309,13665,596414,829395,99652,46007,234455,689,8799,23,92098,462,2953,55326,17982,105,36503,548,1,496,674,7732,0,37634,228,441,21169,86376,185,11458,508190,1875951,92269,34,287655,55634,0,10412,302793,377,37616,24,200682,70,8208,3260,91672,20,18517,101,40822,96829,123874,51540,233362,9039,1825,222828,363015,289,40634,3089708,4650,286,426,1317,62,1518,16406,84,5503,55758,23715,53528,779,809,73926,427,7361,15731,737,121767,17607,2580,170558,60557,2587320,27197,4324,12030,28293,237613,483023,36950,49,15046,133,2666,10159,4931,114140,198498,36,1081,5118,3569532,3952,210710,10864,974367,880,36465,1500572,391,76310,124276,11,143953,29973,55621,335999
