Sort Order,"Major area, region, country or area of destination",Notes,Country Code,Type of Data,Total,Other South,Other North,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2019261,Montenegro,,499,B,70967,687,288,,2763,,,,,,,,,,137,257,,,,,,,,,,,,,,32081,,,,,78,,,,,,69,,,,,,,,,,,,,,,15517,,,,120,,,97,,,,,,,,,,,,,,,,447,,,,,,1882,,,56,,,,,,,,,,,,47,,,,,,,,,209,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,3328,,,,,,,,,,,98,,,,,,,105,928,,,,,,,,,,,,8828,,,,,56,1622,,,,,,,,,,151,212,,,,,,,,,,87,,,,,141,,103,,318,,,,,,,,,,,
2019262,North Macedonia,,807,B,131175,929,611,,68029,,,,,,,,,,,,,,,,,,,,,,,,,8742,,,,,1075,,,,,,,,,,,,,,,,,,,,,1437,,,,53,,,,,,,,1970,,,,,,,,,,,,,,,,,42,,,233,,,,,,,,,,,,81,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9260,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,23,215,,,,,,,,,,,,17991,,,,,36,256,,,,,,,,,,,,,,,,,,,,,19991,,,,,64,,,,,,,,,,,,,,,
2019263,Portugal,,620,B,888162,2620,1000,,50,233,,378,158958,,,1342,101,,1222,512,66,,,1494,,962,3479,,33,,,216,,42,,136526,,,5267,,,60543,,74,7398,,,,,197,10638,134,2028,654,,482,,,132,82,1648,,29,251,74,1846,401,,,137,454,427,86,224,,130,587,30,,,,339,92335,,,575,115,1088,27362,195,,189,,,,,30,4576,28905,,,,,404,28,7941,251,657,229,1587,,344,2772,26,314,190,886,102,,,,,209,219,,28,96,205,370,3992,26,464,49,,114,43,,,40,,,268,,,,78,,2001,71421,,,,5884,4027,,44,,,269,,276,,336,,1967,,35,,53,289,482,990,,,,131,20061,,23149,5770,,,,,,,,,18219,,2113,178,,53,28,,93,55,,,11215,,16112,77,,,,816,16458,473,,1487,1746,75,,,,139,701,,,,27,47323,,18695,69,7075,,228,893,,24584,53,,,,,1164
2019264,San Marino,,674,C,5507,166,144,,39,,,,,,,90,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,143,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,
2019265,Serbia,24,688,B,820312,609,106,,474,53,,,,,,49,160,,685,7109,,,,,,136,220,,,,,,,341347,,86,,,1152,,,,,,621,,,,,,1791,,,,,,,,,287762,29,,175,522,,,185,,,,,78,,,,,,,,,,34,5473,,,,,48,16339,29,,928,,,,,,,,,,,,1828,,299,32,66,178,52,,110,1953,,39,100,98,,,68,,,,45,,,379,,28,91,,,,,,53,,,,,,26,,,,72359,,33,,,,,,763,,24,,,,,47482,,140,,,,,,,49,43,674,39,,,26,233,,3664,2990,,,,,,,,,,,,,,,,,483,11104,,,143,,160,,77,,,1209,2901,124,,,,,,,,40,394,29,,,,1294,24,657,,1306,,,81,,37,,,,,57,28
2019266,Slovenia,,705,B,253122,6167,18500,40,127,33,,0,3,,,405,18,,359,2702,21,,0,12,,166,299,4,1,,0,,,104738,1,145,,,1157,6,4,,6,15,376,,2,1,,34,944,,,48,0,7,,3,3,45612,76,,11,367,,13,54,0,,186,11,118,,0,13,24,,14,,,,38,1131,,,1,18,27,7361,57,,109,,,,,1,6,22,,2,,4,405,6,168,56,125,78,59,,38,4027,7,92,58,160,28,,13,15,,49,25,0,10,45,8,45,37,17,2,7,0,4,7,,,0,8,,72,,,6,3362,,27,5,,3,,20,334,,,4,0,62,,16507,,16,1,38,,,,,58,140,385,59,,3,,347,,460,2780,2,,,,,,,,,16,3,24601,0,5,9,,549,,,27,56,,182,17,3,12,,320,951,108,6,255,,1,,,,69,152,13,,,5,2347,12,604,3,743,,15,65,,,23,,2,14,6,15
2019267,Spain,25,724,B,6104203,3932,11794,474,2008,57140,,6113,3681,,,259946,9860,,6606,9163,638,60,58,10986,44,4026,47148,35,412,,,151235,,2195,,109552,,22,121435,1188,110,4605,98,5365,7172,,167,126,,56704,164695,,,367816,,2181,,3459,3064,1744,141447,,379,8857,119,1521,11640,21,1000,167176,415310,4277,9524,21323,141,1942,,3847,,,33,12749,209344,,,288,17836,9076,199117,12218,,4125,,644,,,7678,10141,5563,115,749,,57764,9633,1162,37857,2007,6100,1895,15225,,2961,125820,292,6349,2342,1861,1611,,500,345,194,4131,3461,,848,1000,119,15971,1476,478,67,623,,17645,323,,,8781,249,,53158,123,243,434,173,,711792,1240,90,130,,3249,48248,,1111,25969,290,29204,,649,,15786,52,55043,,4399,31,64547,193786,46322,62811,109184,,94,4340,19031,,622555,87373,293,,,46,,,,38,195,875,51789,4041,41,1062,521,,7560,1359,,281,2931,,,650,,403,225,19732,63515,6123,87,2159,,526,,,213,2832,4112,62,,35,218,94120,337,302020,373,48225,,75539,665,,202859,1693,,,144,153,347
2019268,Western Europe,,926,,30427318,102590,307737,311734,79973,1641745,1,1196,42923,31,175,49382,49515,5069,45387,326402,30021,294,651,30077,308,32220,299599,104,27666,192,873,15641,5109,445301,464,207554,0,786,379814,14481,13718,48191,78249,138887,78898,0,19229,9893,0,48041,382499,897,37,89342,40381,87275,4,5065,114166,400577,26739,70097,5763,596110,6503,196054,46013,8934,7833,43124,29875,99792,4687,679,95142,16227,227,59522,0,5,390,34125,593571,0,0,23451,19894,35591,1081348,66185,108,397380,13,110,0,1,8511,62643,4776,7888,88810,0,3629,302131,4170,240365,162042,229864,279560,39662,13,40697,1416074,5297,78584,17567,949690,25796,9,3655,80048,52874,45931,146520,310,6304,18805,3013,62214,55749,138625,760,16509,100,88424,2838,0,0,22432,56087,0,48425,4,28056,6168,47020,6,1556482,4096,4519,1071,1,15102,356232,0,12361,3977,9718,78036,0,191662,0,20630,1050,130061,1,2428,514,8078,51343,126402,2232864,1184541,63,562,68269,35173,0,887082,1206115,25599,4,78,5371,0,110,52,257,605,12863,146662,589123,1121,11370,12622,25034,113211,68388,19,76516,54479,40,618822,145813,2863,18330,222403,52698,230082,735993,27819,143691,12,49134,0,112,2347,504640,2468170,6673,8,16,6996,284736,3371,419900,5444,291597,1,9052,43135,821,28478,282636,0,1154,6436,3269,4197
2019269,Austria,,40,B,1779857,,,20561,3715,1522,,2,402,,8,1797,3601,,2939,,1270,25,24,3231,24,1967,3039,48,94,22,28,600,,183169,29,6122,,7,18572,142,114,48,1130,772,3006,,34,14,,1485,20910,331,20,1853,,539,,211,251,47226,1037,,383,64923,3171,826,1673,8,60,3689,781,17578,80,11,122,439,27,1506,,,21,1886,10581,,,28,741,3914,264081,2920,,4725,,17,,1,439,357,80,22,74,,115,52494,221,16026,1433,18291,6521,1162,,3024,35105,245,3506,884,1302,1159,,298,764,146,951,2173,4,323,541,446,1073,900,88,44,570,10,116,127,,,38,134,,1784,1,28,2129,25784,,2273,79,83,216,1,694,10005,,522,245,36,10016,,25877,,1140,36,5682,1,73,70,270,1992,16356,77899,2033,7,29,147,2100,,82949,36562,249,,2,16,,11,4,1,2,563,395,230404,51,315,337,,32073,21140,16,1434,3295,,4865,1158,326,749,23,4191,18654,11757,335,6615,,258,,8,82,4356,218201,165,,14,323,9717,207,13000,185,13049,,332,890,8,1080,3947,,,112,133,351
2019270,Belgium,,56,B,1981919,46050,69075,23386,11042,27633,,,6897,,,2525,1607,,1611,3474,237,13,54,2796,21,540,,,1542,,284,1245,,615,42,14634,,,34769,1568,7942,879,1553,19201,5172,,485,535,,4450,21031,,,6809,,4154,,330,6384,412,1901,,553,746,111,89101,2609,1452,179,3003,6635,4895,741,102,538,1001,,4751,,,27,2705,194862,,,735,874,554,85150,10131,,17832,,,,,875,15273,315,93,2069,,288,8507,223,22852,3643,11399,20681,3555,,3607,126432,446,4827,1228,1132,1626,,374,356,1203,1762,7371,15,983,1016,7,2277,14529,2314,96,799,4,992,465,,,2367,3537,,2745,,144,824,23,,226216,474,203,77,0,3878,137062,,412,332,1989,6203,,1541,,1234,47,13217,0,187,32,516,3894,11581,80564,38096,,,4645,1327,,81588,7757,14930,,,,,,,15,112,748,6265,411,87,2247,660,,1558,205,,6253,3948,,49889,2256,1216,1247,3909,3406,5419,26484,68,9746,,6194,,,,15682,104059,12,,,777,1955,,23231,683,16980,,516,436,,1844,8765,,,302,367,506
