Sort Order,"Major area, region, country or area of destination",Notes,Country Code,Type of Data,Total,Other South,Other North,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2005001,WORLD,,900,,191615574,5732126,2207815,3898656,966234,1599882,2588,5778,716506,3053,37541,808409,898086,13056,430599,494587,1446116,34866,52557,5786866,93504,1581211,439693,51891,504053,14921,118031,543783,5162,1496969,33296,1220052,5872,45284,906520,1367198,619478,141879,674465,221292,1190001,1291,131396,210455,14846,542211,7327438,803530,115392,1887924,96158,172360,19584,118673,701796,840203,1162586,68806,154243,607009,86930,1115397,225671,12339,64239,1023442,987059,1901661,1119319,71834,294519,150427,44865,522889,1099,12547,156671,302908,1725773,3808,2725,41290,61266,888613,3446260,665990,9667,868029,14735,64748,9125,2541,737106,405421,83098,393980,972717,113,449303,468156,28804,9597951,2804569,889941,1446429,771302,8501,319756,2699529,906462,722116,434172,3718750,358521,4021,126406,652862,895859,271170,613614,158995,350999,101106,2939,412612,52903,148827,221368,1380437,1771,895610,100337,6654,14551,102410,130695,6469,10818079,18347,19114,42378,148156,15826,2473209,663147,1801951,65430,1880,1138625,799588,5225,556056,436780,302041,810687,5298,459289,2735,175298,18067,3902648,3786,132266,4502,545839,973644,3712857,2887741,1744741,1640856,17777,2039728,715599,2559,2108741,10358533,285203,3766,33923,47006,429,55762,99233,2910,29790,177327,472787,929729,23290,147931,233440,23604,272294,119620,3000,1101320,602433,243075,1113967,1137286,3049106,1220379,252472,270865,504258,863712,586243,637455,94966,385788,2090,48744,322944,579219,2749962,229249,1237,2917,557901,5567629,105072,4148316,234991,2291218,3812,299038,1730060,7437,438692,2097784,7437,131091,630990,180995,499882
2005002,UN development groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2005003,More developed regions,b,901,,116687616,2697921,729178,304921,961629,1527511,680,5721,229784,1040,28564,528204,686613,7514,360756,460213,955232,33100,8338,454481,87979,1446113,409337,47381,24645,14770,2147,188713,4548,1494017,4688,937250,463,11133,418657,20566,19589,126743,271609,135398,1096812,1198,16283,8861,14776,279114,3791633,610539,19544,1021181,30750,86542,19525,92430,129128,836160,1091867,62177,141010,599085,25046,182318,214182,8119,43386,905147,915765,427914,1068856,18593,74524,147424,2298,221215,1070,12544,154171,297547,1264320,74,620,20130,42431,755876,3003998,289740,9594,776940,14333,49882,484,83,671523,58177,35074,346996,633143,110,401906,446296,28393,2891192,379771,786471,490312,760406,8500,223158,2350563,879976,550994,100651,3632404,249360,1466,51808,622908,276200,261984,449349,1062,71584,55823,2813,396232,52569,117188,15981,276225,740,74503,100007,6220,445,23556,119506,0,10759884,7102,18776,33052,147911,13076,2284055,86209,84685,4419,594,75848,725030,1506,534778,253807,8095,464799,5219,317830,164,155332,5133,1014940,110,115508,3238,51885,663410,2642187,2779188,1462192,1618728,4570,1801102,679209,352,1962133,6479660,27603,2893,21586,33309,341,38216,81833,2881,17057,77368,229823,924833,8812,65813,135054,22144,271345,117911,1986,257204,499626,2,792654,524671,45775,89602,224218,256525,469668,209302,483789,459645,14898,43043,1939,45640,306980,537536,2617962,218616,252,1807,99152,4918829,33081,3689875,83930,1022936,206,137086,1357071,2056,345602,1851695,14,125,48578,48976,152596
2005004,Less developed regions,c,902,,74927958,3034205,1478637,3593735,4605,72371,1908,57,486722,2013,8977,280205,211473,5542,69843,34374,490884,1766,44219,5332385,5525,135098,30356,4510,479408,151,115884,355070,614,2952,28608,282802,5409,34151,487863,1346632,599889,15136,402856,85894,93189,93,115113,201594,70,263097,3535805,192991,95848,866743,65408,85818,59,26243,572668,4043,70719,6629,13233,7924,61884,933079,11489,4220,20853,118295,71294,1473747,50463,53241,219995,3003,42567,301674,29,3,2500,5361,461453,3734,2105,21160,18835,132737,442262,376250,73,91089,402,14866,8641,2458,65583,347244,48024,46984,339574,3,47397,21860,411,6706759,2424798,103470,956117,10896,1,96598,348966,26486,171122,333521,86346,109161,2555,74598,29954,619659,9186,164265,157933,279415,45283,126,16380,334,31639,205387,1104212,1031,821107,330,434,14106,78854,11189,6469,58195,11245,338,9326,245,2750,189154,576938,1717266,61011,1286,1062777,74558,3719,21278,182973,293946,345888,79,141459,2571,19966,12934,2887708,3676,16758,1264,493954,310234,1070670,108553,282549,22128,13207,238626,36390,2207,146608,3878873,257600,873,12337,13697,88,17546,17400,29,12733,99959,242964,4896,14478,82118,98386,1460,949,1709,1014,844116,102807,243073,321313,612615,3003331,1130777,28254,14340,34590,654410,102454,177810,80068,342745,151,3104,15964,41683,132000,10633,985,1110,458749,648800,71991,458441,151061,1268282,3606,161952,372989,5381,93090,246089,7423,130966,582412,132019,347286
2005005,Least developed countries,d,941,,9833150,668535,314119,0,0,7843,0,0,394212,0,0,464,0,0,1839,168,0,0,24592,1903,0,0,717,0,79163,0,108240,0,0,0,555,13198,0,0,0,61716,593335,14106,17134,29655,1961,0,85653,94358,0,284,216507,179,0,708,9602,59311,0,233,542817,0,1527,0,8,0,200,666862,186,2740,0,2061,0,33811,0,284,203269,0,119,121326,0,0,766,0,45993,0,0,18735,12092,0,3464,89200,0,35,0,0,0,0,0,189880,43089,0,0,0,0,8,0,630695,129286,0,6815,12,0,0,2217,0,12193,0,0,94484,643,31,0,72278,0,3645,6358,182729,3855,0,0,0,10142,67016,190987,0,170128,0,0,0,63947,181,0,261,0,0,0,0,0,3802,94300,233045,1417,1255,25629,419,273,592,0,124932,142085,0,0,0,11676,0,45658,0,0,856,0,300,1111,0,11779,1324,0,691,0,898,0,1262,241838,0,0,0,0,0,4,0,5440,1784,179422,0,13788,73998,8592,0,0,50,75,503831,34248,169457,1883,175,3541,662067,0,545,573,2736,28460,58413,0,86720,0,27,0,245,8,0,0,295,161926,50,68,33274,100149,47259,0,244,1422,38,2150,89249,0,0,325,60174,128638
2005006,"Less developed regions, excluding least developed countries",,934,,65094808,2365670,1164518,3593735,4605,64528,1908,57,92510,2013,8977,279741,211473,5542,68004,34206,490884,1766,19627,5330482,5525,135098,29639,4510,400245,151,7644,355070,614,2952,28053,269604,5409,34151,487863,1284916,6554,1030,385722,56239,91228,93,29460,107236,70,262813,3319298,192812,95848,866035,55806,26507,59,26010,29851,4043,69192,6629,13225,7924,61684,266217,11303,1480,20853,116234,71294,1439936,50463,52957,16726,3003,42448,180348,29,3,1734,5361,415460,3734,2105,2425,6743,132737,438798,287050,73,91054,402,14866,8641,2458,65583,157364,4935,46984,339574,3,47397,21852,411,6076064,2295512,103470,949302,10884,1,96598,346749,26486,158929,333521,86346,14677,1912,74567,29954,547381,9186,160620,151575,96686,41428,126,16380,334,21497,138371,913225,1031,650979,330,434,14106,14907,11008,6469,57934,11245,338,9326,245,2750,185352,482638,1484221,59594,31,1037148,74139,3446,20686,182973,169014,203803,79,141459,2571,8290,12934,2842050,3676,16758,408,493954,309934,1069559,108553,270770,20804,13207,237935,36390,1309,146608,3877611,15762,873,12337,13697,88,17546,17396,29,7293,98175,63542,4896,690,8120,89794,1460,949,1659,939,340285,68559,73616,319430,612440,2999790,468710,28254,13795,34017,651674,73994,119397,80068,256025,151,3077,15964,41438,131992,10633,985,815,296823,648750,71923,425167,50912,1221023,3606,161708,371567,5343,90940,156840,7423,130966,582087,71845,218648
2005007,World Bank income groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2005008,High-income countries,e,1503,,120543730,3353485,1116199,518295,889591,1564872,139,5734,229419,2119,34741,644944,128211,8649,384121,456711,61091,33713,10435,1937661,90960,363076,415196,47848,24421,14864,2132,501370,4906,1133828,4578,1004979,3738,11137,410712,20057,19440,126729,276733,135027,1137071,1212,16186,14541,14790,480840,6619780,680417,98448,1081768,30701,86157,19528,99621,129041,521209,1116073,65307,140093,587809,15483,182780,214857,8119,57337,993021,933408,1502584,1072654,18526,87213,70639,2304,375959,1073,12547,154219,294244,1367432,82,2603,20128,42426,167734,2884610,289577,9620,746316,14362,63520,1545,1643,673541,57897,34875,367480,665892,113,404943,435394,28285,6730516,1717917,832896,566563,761723,8500,217281,2520181,902096,586358,331658,765590,249430,1462,86961,66139,277270,141418,552926,1077,71587,73248,2933,282642,52561,117729,15973,1154272,679,74532,99625,6555,493,23554,119878,1,10773666,18169,18660,19467,60707,15427,2450357,86179,215728,4330,602,359987,739100,3744,541274,263037,8116,473290,5226,265510,2479,154868,5135,2540202,2531,117741,3241,506516,877509,3536681,2825898,1471468,1627399,5740,1817010,205515,355,2067044,2413904,27508,3385,32103,42297,373,54189,81828,2864,17073,89005,229745,892339,8818,65816,145516,22855,265158,105226,1986,264595,515010,8737,930499,906401,84989,432599,225839,258100,473733,645463,26204,523703,14898,43071,1938,46043,313053,571199,2638922,10782,1215,1497,99104,1453604,75620,3792984,83830,1451792,2157,260681,115732,6726,365903,1875718,7424,56,597057,48659,152635
2005009,Middle-income countries,e,1517,,61623367,1692405,861808,3367099,76643,28269,2449,44,192076,365,1609,162967,769676,1101,46028,37642,1384852,1005,42122,3848509,2064,1217441,23204,4043,401014,57,7659,42413,256,363141,24452,200116,272,34122,495808,1285425,10528,9109,397732,57064,50111,79,50328,182570,56,60956,660255,122788,16944,802790,4432,33227,56,18819,30248,318994,42994,1099,14142,19200,71154,377526,10524,1480,644,17510,53651,389225,46665,53234,200601,79788,42478,143436,26,0,2298,8664,111902,961,0,2853,6748,720201,558082,287674,47,121678,373,1213,190,898,63565,160219,5565,21609,275830,0,44360,32754,519,2335025,1085329,55824,536726,9567,1,102475,176643,2449,134912,102514,2952303,20831,2559,39445,575221,617741,129752,55880,151560,96683,26816,6,129970,342,1983,45869,226001,1092,659593,712,99,532,14501,6342,0,44118,178,454,22911,87449,154,19389,338464,1586223,60529,1278,778638,52189,274,12003,173743,169118,221337,59,193779,256,20416,12894,1320459,1255,14525,1247,39323,95035,173962,61804,267245,12056,12037,217545,509281,185,41697,7704672,23257,228,360,1168,56,1415,17282,46,12606,86840,100515,37390,684,8117,87924,449,7136,14344,1014,408068,42970,64881,181620,230673,2519634,125492,3660,12238,29735,215267,531579,113312,80068,256136,152,2589,9773,8020,110240,218011,22,1322,323461,4112742,29452,328990,56151,827892,1109,38113,1605218,514,69104,221383,13,131035,33826,42650,231120
2005010,Upper-middle-income countries,e,1502,,36657488,973488,343060,2191390,76056,6633,2430,44,71180,365,1490,129151,697707,1044,24112,35546,1262656,919,1897,257796,2027,911944,20526,2633,29955,56,33,41771,239,363081,23960,164970,272,4716,493498,4557,4288,648,378091,31090,41299,13,251,3433,56,56065,226770,122361,16944,799270,3641,22076,56,7865,3356,318860,40224,961,13943,18784,63271,27790,9411,1157,642,17245,51911,345079,37812,49147,2878,68121,42442,3998,26,0,1293,7823,77497,959,0,353,114,646839,526020,8516,38,119868,373,1212,190,3,50955,3221,938,21603,275749,0,23055,32238,470,194774,932537,48137,525296,9162,0,18344,163644,2397,102530,33296,2671498,11550,1969,12427,541813,540082,107845,45736,151392,419,8008,5,100387,328,1942,36137,15760,111,31545,709,1,532,610,6007,0,31796,178,383,22760,87448,154,9982,325330,1285336,59390,28,137278,46946,0,9066,161980,329,28217,18,193661,176,7591,2853,59236,0,13393,89,35822,84371,167512,53003,258083,11772,1636,196800,348291,185,38884,3012807,3207,228,360,1168,56,1415,17265,46,4579,49995,19863,37381,654,637,62123,410,7064,14336,681,105681,20604,2335,170867,54190,2399525,24057,3553,11455,27147,196330,456114,35489,0,12981,152,2514,9764,4442,105236,191859,22,1027,4174,3850231,3461,238796,8757,709847,1055,37512,1360742,360,68052,117797,13,131035,27170,41584,218572
