Sort Order,"Major area, region, country or area of destination",Notes,Country Code,Type of Data,Total,Other South,Other North,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1995011,Lower-middle-income countries,e,1501,,27545443,697173,539111,1314510,665,25343,17,1,162676,0,46,26001,62221,14,23733,909,130926,35,18937,4129697,54,408989,2034,1483,189431,1,9638,353,17,33,396,19390,0,23836,2483,1155814,587,7813,59082,14945,9137,68,30160,190029,0,5315,552674,430,0,2402,527,2326,0,6682,5819,124,1938,138,114,624,3376,171913,604,247,3,217,1220,41636,63061,846,287945,13113,44,537759,0,0,2042,579,43105,1,0,1440,6079,85424,47356,172570,8,1332,0,2,0,127,11623,139617,2389,4,64,0,22339,620,3,2503645,107373,8586,6956,271,0,101801,10061,68,26433,65416,367033,12241,980,30856,39491,67588,23629,8669,115,45290,22317,2,32586,13,42,12450,146866,1232,541273,4,114,0,12941,1455,0,12535,0,60,242,0,0,10210,22638,308120,1267,988,603450,2067,290,3404,78568,99507,174872,41,126,93,7310,9470,1647279,346,1145,1161,2269,8991,6319,11290,8910,271,9999,10882,184899,0,4809,6057790,14129,0,1,0,0,0,14,0,6728,36045,67947,0,16,3515,20340,39,66,4,396,261262,17761,53996,6541,236782,55647,53072,38,755,2488,18818,58372,56741,71401,231144,0,74,9,3220,4822,32688,0,339,193844,410904,23578,54205,79562,103262,30,590,219574,165,892,128083,0,0,5550,1155,23815
1995012,Low-income countries,e,1500,,10577086,981054,158068,12340,0,4686,0,0,297585,0,0,442,221,0,125,267,209,0,0,709,0,771,928,0,48287,0,107664,0,0,0,3032,1985,0,31,0,46880,530734,4042,0,35871,2008,0,9264,14832,0,316,47629,102,0,786,7760,35144,0,260,378564,0,1348,0,8,0,247,253920,324,1901,0,2285,0,8992,0,56,37449,0,69,19593,0,0,0,0,40580,0,0,5472,13622,753,3878,70770,0,37,0,0,0,0,0,203581,39810,0,0,0,0,9,0,530251,904,1473,8254,9,0,0,2293,0,483,0,951,76838,0,0,15292,0,0,7151,4061,462116,1360,0,0,0,10701,107068,138,0,201619,0,0,0,123430,151,0,290,0,0,0,0,0,3560,387594,0,494,0,0,587,0,135,0,73376,91794,0,0,0,8,46,21625,0,0,0,0,540,1444,47,3245,1468,0,5429,1389,948,0,295843,2032751,0,0,0,0,0,0,0,125,2016,131899,0,8831,418800,0,0,0,42,0,528566,35674,373927,1634,224,292817,383501,0,1136,761,2352,36733,300,0,42812,0,0,0,0,963,744,0,0,86175,2616,0,23960,78652,10084,30,271,14665,0,2384,700,0,0,89,87902,91245
1995013,No income group available,e,,,353168,17478,9199,0,0,306,0,0,0,351,807,64,0,3739,148,0,0,91,0,0,296,0,445,0,0,0,0,0,0,0,0,7102,874,0,0,0,0,0,0,0,666,0,0,0,0,42,1352,121,0,1641,21106,0,0,0,0,0,1295,2310,0,0,0,0,0,0,7667,11279,0,0,0,0,0,0,0,0,0,0,113,0,149273,2233,89,0,0,0,167,0,0,0,0,10,6381,0,0,550,581,3893,26562,0,0,0,0,132,123,0,0,0,0,0,416,1221,159,0,0,0,0,0,0,910,0,813,0,0,0,0,0,0,9279,0,0,0,215,0,0,11852,313,2181,3937,21,0,0,0,0,174,0,0,0,0,0,0,7178,975,2585,0,0,0,10,0,0,4,0,0,0,0,11,0,344,0,0,1395,48,0,0,0,984,0,0,0,32,2002,3230,0,115,146,0,0,0,1006,0,0,0,0,289,0,0,0,0,21,0,30,0,0,0,17562,0,119,259,0,0,0,0,0,79,100,0,0,0,0,77,0,0,0,1584,0,1539,355,0,0,165,947,0,0,0,0,0,0
1995014,Geographic regions,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1995015,Africa,,903,,16357077,743076,263553,737,425,31839,0,0,494842,0,675,1087,578,0,5624,5253,23,81,1387,2551,18,934,8140,0,259640,38,0,98,0,277,20038,3221,14,69,2494,1205685,533243,11838,0,73629,6260,0,39497,207471,0,470,24303,1120,0,211,31691,49526,0,0,387032,487,1891,0,1389,1077,441,442632,2222,3011,0,0,9,37406,636,36868,324448,72,29199,560192,0,0,29,1227,152477,0,0,7186,19823,0,70879,250733,28,6952,0,0,0,0,63,345926,43011,34,0,0,0,412,13,41736,10794,925,36805,5101,0,2790,29338,119,4777,18019,635,89671,0,10377,45,20,163,21655,136062,507597,16757,0,157,80,20963,138253,10370,47,766443,133,0,0,137029,6941,3893,148,0,255,6,0,0,15222,731382,140,26097,14,110,15941,0,1341,66,173132,289062,13,161,17,994,1657,6492,0,36,36,72,128,4796,3922,28530,0,1199,2338,45,1509,1405,30767,2048983,137,16,0,0,0,0,0,10044,30625,216065,1550,9164,422929,778,0,220,42,0,777139,75410,430928,5766,2190,267526,448409,0,2573,7514,28033,381,3820,14,283471,0,0,16,4355,3307,142,0,0,282531,2489,2319,148505,162486,40804,30,69,337,0,209,98,0,166903,19942,108474,226145
1995016,Asia,,935,,46418044,2000073,870403,3544112,2603,27454,0,0,781,0,0,32608,241155,12,38334,17485,673160,0,20243,5178700,0,160068,11397,0,3,0,117302,149,0,7221,3,225615,43,26791,476648,0,2,16,165281,20,40735,0,6,11458,0,2954,3088250,48382,81548,1823,0,162,0,61,0,184,129,0,9537,931,35990,259,4742,2,0,4,144,1132929,4,0,12051,3271,44,120252,0,0,1300,2452,51498,0,0,0,0,134515,287838,1349,2,91898,0,0,27,78,12,0,0,0,5,0,2,16881,36,5437844,1614403,140351,1035629,2091,0,99253,11549,6,64213,241248,105979,5677,0,56265,31792,273539,12151,87320,0,0,32059,0,22616,30,3,3,642079,1220,0,36,0,0,269,1459,0,3129,0,0,814,0,0,173772,4,857612,2,0,838765,26582,0,9657,4,33,6054,0,84485,0,10464,10107,2728557,4,7,12,3,44003,807971,103492,5133,12,10205,855240,51552,0,146592,4458442,0,0,0,0,0,0,0,0,0,62064,42,945,5,2,64938,0,256,91,0,68165,12021,7115,5947,581066,1967906,293239,39,6175,14854,457823,95503,148377,71387,0,0,0,6,43779,109640,10850,0,0,1472,745205,81723,156157,180,251804,30,4969,338037,0,711,199558,0,0,441636,999,108
1995017,Europe,,908,,53489829,433073,1105232,111671,470652,897438,1021,3959,181366,729,2257,111649,602220,1153,157942,332410,1026080,1290,2879,163225,21497,1539316,288326,1277,15767,32029,603,13196,3284,1235393,2730,171336,233,2037,137245,9762,5912,74092,77898,56361,160341,617,9596,3791,15545,91081,374239,77883,1966,93468,19570,65579,10,3959,56333,623918,51275,44774,113430,206500,15289,106671,128584,3588,5761,53028,35777,153928,9629,9532,18007,107702,787,66369,628,9706,2231,237500,756345,6,75,9182,14744,809102,1588714,118907,9395,503795,10912,5581,24,3,11966,16065,24090,22520,31372,26,4110,195175,14983,591106,201009,282859,153118,602849,8266,58428,1611290,142655,113014,32543,3176920,129902,118,7810,515547,56530,172155,155705,411,8638,20662,2840,276955,34723,44647,11760,58010,306,53644,33492,2,4,14319,80268,0,39729,25,4368,26710,140983,5078,1644971,78760,12137,1491,6,7788,331738,82,58563,4232,3753,124198,0,330810,277,90499,1608,386867,16,3907,1051,4582,88671,203068,944299,1184057,327,1041,81906,549412,15,643704,6753149,9897,1912,3636,4826,26,4151,267,2420,9217,12701,135042,852865,4210,19884,44289,15991,176019,84650,201,82064,145568,1,817202,209079,6401,14394,167958,146918,231070,87198,457196,94147,2745,25711,2,294,20732,418418,2540146,231664,80,115,57760,4564732,4803,736856,36574,539700,100,23123,1156423,217,81517,306720,451,243,11366,21870,39460
1995018,Latin America and the Caribbean,,904,,6688710,309782,66791,186,444,892,0,52,6115,1716,7277,201212,1337,5364,3438,11429,5,1746,55,62,5458,665,7781,3998,1,85,16,224671,401,35,5,186962,3855,2,2508,26,14,58,181,46,30095,94,16,18,81,283564,57469,2714,21,702750,2,105,12,20782,86,3062,62636,4807,132,6614,1966,47,2213,0,19551,93658,55695,5299,230465,2,26,219,3,180,23,2,10,855,131915,3170,12,8,14,29,73932,126,39,7800,454,17965,6591,6,80699,6,2,32354,260477,11,40739,8780,48,7634,623,1111,296,1368,0,8637,437440,17314,98573,1236,15,101,0,96,4,1493,468,31995,14,7,278,172,1710,264,29,4,222,2,49,69,0,12294,5,1,0,47184,10,30,8,238,2275,2211,1264,61,8,3,14,20756,4,561,228470,24,794,44,8495,7,1174,21,814,1,30798,5,317146,143233,2762,39701,321962,20191,35,17857,995,985,11167,22366,6,301,10997,13053,61,18453,0,40,11,1641,115,962,0,1,125,1116,155,1951,0,30,1227,0,426998,32,1493,23,20696,4035,14217,23565,4,362,0,13,0,136,15298,133,3768,3,1295,8,14,8360,44,37573,30,660543,2945,165688,26,205,78305,253,14,2,12,12,40
1995019,Northern America,,905,,33340948,1846060,18308,50989,25703,19873,0,0,5186,121,17458,122383,55872,4190,68221,100300,12815,26339,802,72235,62603,34687,55253,36667,272,10056,17,44804,54,103330,131,159490,94,4242,28217,178,1389,20943,147413,8837,795940,91,92,356,0,92337,1345327,408993,12611,415920,29,182,0,60312,6014,51972,819094,379,14879,102053,106,9936,59254,300,19917,528550,233289,122346,682568,12,19164,15820,131,66688,0,278,42455,37131,200967,48,97,229,3795,9475,891625,55317,224,251095,0,30453,233,0,369056,3850,37,240732,373121,0,201802,154383,5890,986592,70001,301656,84748,191719,0,115383,856489,558474,341960,43382,11261,45861,0,20730,2550,204299,34505,156844,84,25976,6271,0,36174,2661,1538,338,60372,0,465,18670,3750,284,85,5784,0,6858058,4980,118,76,0,4238,46123,777,29556,232,0,7701,216091,85,27585,204830,124,103052,0,21835,0,44826,281,212485,0,98519,199,13918,228320,1331794,609834,363687,1384320,666,782020,17716,63,161108,340945,1453,0,11318,12813,392,23100,14172,0,0,22800,7615,8130,11622,14817,24745,108,10329,13749,0,38952,79834,0,91313,76831,28797,16580,4938,59846,59719,59320,2318,147275,0,426,0,14253,213987,9167,82143,847,160,0,18980,268612,8077,1313611,28093,248134,34,28778,20547,0,81154,903302,0,0,12979,6295,10928
1995020,Oceania,,909,,5022287,67404,15814,8382,1315,2208,1617,181,370,0,15,13057,710,28,70752,23972,128,230,650,8277,345,829,5131,17,13,392,33,622,0,26278,413,4845,3,1911,2465,15,7,10,27443,55,35660,1,3,12,0,28801,140781,80131,1947,3436,0,130,16990,307,43,55933,438,54,23918,16181,237,291,10968,63,3,42,1316,40336,10028,0,1562,2556,178,2748,112,19,60470,9656,60216,3,3565,10,9,168,132366,1625,447,142981,0,92,4,1529,276,17,11,492,53,0,146,29068,480,92570,56635,19992,18129,60621,737,7358,261671,830,34662,2918,353,6448,4128,1761,88,11912,9573,79925,32,83,1390,8,4843,151,153,468,92611,113,12,57450,402,20,8,19621,44,1049,7124,19,80,3419,0,1767,528,11940,394,1491,1658,123041,4432,319391,785,7,1431,5517,46518,2353,3411,188,10179,2824,138,2760,343,4928,157614,75380,18951,1412,183,46382,316,52,13519,15593,27,21,19,13,0,47,67513,0,0,1185,195,49660,2797,195,33266,0,4671,8185,2341,2617,72165,0,15213,56557,3005,2734,76,7256,12729,6538,26,23292,4904,6,1808,23660,1205,1102,32718,18,0,2615,1218,17034,1005,1321202,1806,98760,0,11366,383,5375,915,161801,6478,0,314,3248,11320
1995021,Sustainable Development Goal (SDG) regions,f,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1995022,SUB-SAHARAN AFRICA,,947,,14275437,682594,253109,97,63,7044,0,0,494821,0,662,844,89,0,4190,3408,0,70,168,1795,18,93,5542,0,259605,38,0,98,0,91,20038,2823,14,14,2436,1205630,533207,11838,0,73520,4369,0,21181,120656,0,450,20291,1120,0,159,28986,48124,0,0,385794,391,1891,0,1312,886,348,428263,1307,1901,0,0,0,1930,0,36868,35340,56,29199,61479,0,0,29,480,124649,0,0,7186,19795,0,41752,250021,21,3071,0,0,0,0,56,344620,42151,34,0,0,0,9,13,35707,983,467,170,5014,0,2062,11853,119,1244,34,0,83011,0,86,0,20,163,9863,136062,507561,7036,0,157,80,20925,138232,587,35,764295,133,0,0,134870,6941,3893,91,0,9,0,0,0,4841,731369,131,25820,14,110,12920,0,1253,66,172777,262829,13,48,17,629,20,4644,0,36,36,72,128,1519,2769,28492,0,0,1437,0,1509,674,4282,2048939,137,16,0,0,0,0,0,10044,2684,212318,1550,9150,422743,352,0,164,42,0,724472,74735,427923,1933,1505,204,406823,0,1497,3326,286,0,566,14,283471,0,0,16,398,608,0,0,0,224685,1984,175,136783,162043,18222,30,69,0,0,184,98,0,0,376,108452,226115
1995023,Eastern Africa,,910,,4977644,268754,104210,0,0,33,0,0,162112,0,0,0,0,0,140,0,0,0,0,210,0,0,723,0,0,0,0,0,0,0,3260,0,0,0,0,0,402694,3439,0,13,541,0,0,0,0,0,4975,45,0,0,28866,24023,0,0,64,0,162,0,0,0,48,264785,161,1901,0,0,0,180,0,0,35015,0,69,59370,0,0,0,0,61594,0,0,0,27,0,1321,310,0,37,0,0,0,0,0,0,0,0,0,0,0,9,0,19552,114,0,0,14,0,0,911,0,215,0,0,77344,0,0,0,0,0,0,4061,0,46,0,0,0,20501,119450,33,1,206,0,0,0,36,2715,3893,0,0,0,0,0,0,0,391701,0,1079,0,33,197,0,0,0,0,2990,0,0,0,8,0,1452,0,0,0,0,0,229,0,2294,0,0,55,0,948,0,352,906907,0,0,0,0,0,0,0,0,0,192,0,8870,0,0,0,0,0,0,721339,38618,290617,72,410,0,343113,0,27,30,0,0,237,0,99,0,0,0,0,0,0,0,0,200764,0,0,23761,157943,1976,0,0,0,0,0,0,0,0,325,87871,114952
1995024,Burundi,,108,B R,254853,33396,7340,,,,,,,,,,,,,,,,,,,,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41447,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546,,,,9780,,,,,,,,,,,,
1995025,Comoros,,174,B,13939,839,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,10701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,
1995026,Djibouti,,262,B R,99774,4478,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,
1995027,Eritrea,,232,I,12400,935,435,,,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,,,,,,,53,,,,60,,,,,,,,,,,816,,,,,,,,,,,,687,,,,,159,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,202,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,,,,,,,,,1607,143,1109,,,,155,,,,,,,,,,,,,,,,,682,,,38,296,,,,,,,,,,,121,125
1995028,Ethiopia,,231,B R,806904,31136,10378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,63,,1901,,,,,,,34949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,459615,,235512,,,,33008,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,89,,
1995029,Kenya,,404,B R,618745,69611,37372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,391,,,,,,,,,66,,,29521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5861,,,,,,,,,,,,,,,,,,,172164,185,53996,,,,41215,,,,,,,,,,,,,,,,,134005,,,,73119,,,,,,,,,,,,
1995030,Madagascar,,450,C,21177,2523,3155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312,,,,7242,,,,,,,,,,,,,,,,,,,,,,,,,,,,5908,,,,,,,,,,,,,,,,,,,,,,,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995031,Malawi,,454,B R,241624,39468,13149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5896,,,,,,,,,,,,,,,1567,,,,,,,,,,2481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5138,,,,,,,,,,,,,,,,,,,61,9179,,,,,,,,,,,,,,,,,,,,,,,,,1639,10676,,,,,,,,,,,47571,41271
1995032,Mauritius,1,480,C,7493,411,146,,,,,,,,,,,,,,,,,150,,,35,,,,,,,,,,,,,,,,,,27,,,,,,3273,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,70,,,,,,,,,,,,,,,,,1483,,,,14,,,56,,14,,,,,,,,,,,,,,,,242,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,28,,,,,,,,,,,,,39,,,,,,,,192,,7,19,,,,,30,,,,,,,,,,,,,,,,,450,,30,,,,,,,,,,,
1995033,Mayotte,,175,B,26316,703,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20154,,,,,,,,,,,,,,,,,,,,,,,,,,,,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995034,Mozambique,,508,B R,168256,2952,8853,,,,,,19720,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,3439,,,,,,,,,,,,,,,,,,,,,,,,3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238,,,,,,,,,,,,12499,,,,,,,3955,,,,,,,31600,,,,,,,,,,,,,,,,,,,,,,,,,,,2702,,,,,,711,,,,,,,,2294,,,,,,,,,,,,,,,,,,,,8545,,,,,,,,10175,,,,,,,,,,,,,,,,,,,,,,,,,,3744,,,,,,,,,,,2680,49118
1995035,Réunion,,638,B,77159,6979,5198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,50738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7218,,,,,,,,,2181,3893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995036,Rwanda,,646,B R,215735,13004,1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37445,,,,,,,,,,,,,,,,,,,,,,,,,89770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48486,,,,24121,,,,,,,,,,,,
1995037,Seychelles,,690,B,5148,396,238,,,,,,,,,,,,59,,,,,14,,,26,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,167,,,,,,48,,,,,,,,,,,,,,,,,1651,114,,,,,,29,,,,,178,,,,,,,,,,,,,279,,,1,,,,,,383,,,,,,,,,,,,,33,,,,,,32,,,,,,17,,,,,,229,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,13,224,,10,391,,,,,,,,237,,,,,,,,,,,5,,,223,,,,,,,,,,,,,
1995038,Somalia,,706,I R,19527,988,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,18044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,
1995039,South Sudan,,728,B R,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..,,,,,,,,,,,,,,,,,,..,,,,,,..,,,..,,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,..,,,,,,,,,..,,,,,,,,..,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,
1995040,Uganda,,800,B R,606987,18425,340,,,33,,,,,,,,,,,,,,46,,,41,,,,,,,,,,,,,,46279,,,,92,,,,,,129,,,,,,,,64,,136,,,,48,73273,161,,,,,41,,,0,,,175,,,,,228,,,,27,,214,27,,37,,,,,,,,,,,,9,,1244,,,,,,,369,,64,,,30640,,,,,,,,,46,,,,,174,,,,,,,36,,,,,,,,,,214,,,,,197,,,,,108,,,,8,,204,,,,,,,,,,,55,,,,279,131974,,,,,,,,,,54,,,,,,,,,1007,,0,55,,,268735,,27,,,,,,99,,,,,,,,,,,,979,29873,459,,,,,,,,,,183,79
